"presence"	"cld6190_ann"	"dtr6190_ann"	"ecoreg"	"frs6190_ann"	"h_dem"	"pre6190_ann"	"pre6190_l1"	"pre6190_l10"	"pre6190_l4"	"pre6190_l7"	"tmn6190_ann"	"tmp6190_ann"	"tmx6190_ann"	"vap6190_ann"
1	58	73	"10"	1	17	67	23	110	32	81	215	260	313	281
1	57	68	"10"	1	30	75	19	120	32	94	217	259	310	283
1	59	70	"10"	2	632	75	39	111	37	96	210	253	305	273
1	56	73	"10"	0	50	54	12	96	24	63	215	262	314	281
1	58	74	"8"	0	2	65	22	109	31	78	215	260	314	281
1	76	121	"10"	0	187	64	64	62	75	60	191	258	327	249
1	80	107	"10"	0	144	84	74	76	108	96	202	263	323	274
1	79	97	"10"	0	107	78	86	69	99	60	208	264	321	286
1	81	102	"10"	0	121	65	82	62	89	39	206	267	327	284
1	80	98	"10"	0	102	75	86	71	104	52	207	262	318	292
1	80	97	"10"	0	100	74	87	70	104	51	207	262	319	292
1	79	98	"10"	0	108	76	84	67	102	61	208	264	320	286
1	81	102	"10"	0	120	65	82	62	89	40	206	267	326	284
1	81	111	"10"	0	142	50	59	55	65	23	198	266	331	275
1	79	112	"10"	0	192	53	62	56	67	30	202	267	332	268
1	80	109	"10"	0	158	50	61	59	60	19	195	264	327	273
1	71	108	"10"	1	147	85	39	69	95	131	198	256	326	269
1	71	106	"10"	1	73	85	41	68	96	128	201	259	328	275
1	68	115	"10"	2	993	74	16	66	64	144	184	250	335	238
1	67	109	"10"	1	1234	29	4	41	17	50	165	237	305	230
1	66	106	"2"	0	19	30	11	36	25	48	184	253	317	249
1	64	98	"2"	2	1043	28	8	39	16	47	156	222	280	211
1	62	103	"10"	0	39	53	23	87	64	49	218	280	339	279
0	81	96	"10"	0	101	71	92	70	97	41	209	264	320	300
0	80	105	"10"	7	2133	53	44	65	63	44	115	173	230	164
0	54	100	"10"	0	215	40	43	48	45	21	129	227	313	212
0	65	123	"9"	10	615	40	82	39	35	4	138	242	320	226
0	69	99	"10"	0	80	33	50	43	31	19	165	243	317	248
0	40	170	"5"	68	304	8	11	14	9	4	-10	153	333	89
0	69	116	"9"	0	578	37	68	41	23	12	115	216	304	183
0	58	98	"10"	0	230	49	33	72	18	77	172	249	324	271
0	69	117	"10"	0	888	32	69	38	23	3	127	225	310	211
0	73	109	"9"	1	663	42	82	45	27	11	107	207	283	179
0	59	98	"9"	1	18	57	3	54	38	129	218	273	353	256
0	78	124	"10"	4	382	59	96	58	71	2	166	252	334	274
0	82	95	"10"	1	100	61	88	58	89	16	203	265	326	301
0	52	112	"2"	34	1221	3	6	2	2	1	99	172	243	129
0	66	121	"9"	0	437	47	96	50	42	1	164	257	344	243
0	54	158	"12"	166	5016	9	24	2	5	0	-42	73	169	51
0	65	105	"2"	2	656	21	22	1	53	11	197	264	336	224
0	44	147	"12"	142	4458	13	36	8	3	3	-73	57	171	25
0	67	115	"9"	0	247	34	64	28	52	1	191	269	356	244
0	76	115	"10"	7	1109	41	60	46	33	27	75	179	271	159
0	62	54	"13"	99	18	42	44	37	48	39	-3	53	116	62
0	79	101	"10"	1	100	56	94	53	70	8	194	265	333	291
0	75	108	"10"	0	302	62	94	68	68	20	176	254	321	267
0	51	130	"5"	119	1218	4	2	3	6	3	-31	89	236	57
0	75	86	"10"	2	212	64	76	12	113	58	212	258	319	280
0	55	90	"8"	0	48	35	14	44	18	46	167	251	324	248
0	54	109	"10"	0	754	82	32	146	27	105	190	253	331	267
0	75	111	"10"	2	295	46	85	40	68	2	187	263	342	265
0	57	126	"8"	17	1783	33	60	31	22	7	101	196	275	139
0	73	129	"10"	2	300	58	99	59	54	0	158	254	340	263
0	51	159	"12"	146	3989	8	23	4	2	0	-51	83	190	47
0	65	110	"2"	3	574	21	27	8	43	12	187	258	332	207
0	75	113	"10"	3	219	49	86	44	70	2	186	262	341	270
0	68	90	"10"	1	105	69	78	24	90	78	209	257	321	230
0	35	129	"12"	166	3538	4	5	1	0	4	-69	33	140	12
0	47	161	"10"	108	2006	15	40	9	9	1	-36	118	229	78
0	55	90	"8"	0	63	35	13	43	17	47	168	250	323	249
0	66	108	"10"	2	634	87	18	82	58	176	184	243	316	233
0	72	78	"10"	1	66	76	103	10	132	66	221	263	321	289
0	62	121	"9"	0	610	45	93	52	38	3	145	245	324	215
0	81	105	"10"	1	199	61	97	67	72	15	184	259	322	289
0	51	115	"5"	50	40	5	3	3	6	6	15	126	251	77
0	45	145	"5"	56	166	6	5	8	5	5	11	149	312	84
0	81	103	"10"	1	201	62	101	68	75	14	189	261	324	294
0	65	121	"10"	1	444	37	69	41	25	11	120	225	313	191
0	60	70	"13"	107	1	13	13	10	16	13	-16	56	137	58
0	69	129	"9"	3	489	48	89	51	45	1	152	255	340	249
0	52	125	"5"	39	66	20	20	21	23	15	24	138	288	112
0	79	122	"10"	5	396	59	95	57	76	3	171	252	333	279
0	55	107	"2"	39	1194	1	3	0	0	0	88	162	235	126
0	58	107	"9"	3	349	43	46	53	45	24	115	217	305	205
0	81	91	"10"	0	49	68	81	55	95	48	213	266	319	304
0	55	91	"10"	3	244	72	52	120	48	46	174	242	302	253
0	72	81	"10"	0	1	83	124	16	158	51	223	268	321	299
0	74	99	"10"	12	894	29	11	47	39	28	154	216	271	201
0	71	116	"9"	5	404	36	66	26	57	1	176	257	342	246
0	64	128	"9"	0	301	35	70	29	30	5	151	257	341	241
0	75	126	"10"	2	328	59	99	57	57	1	161	254	343	269
0	36	116	"12"	200	4156	4	3	2	0	7	-89	5	108	5
0	50	100	"4"	2	713	63	24	70	24	114	146	218	296	213
0	55	151	"12"	143	4492	6	19	0	1	0	-28	79	166	50
0	49	142	"8"	3	166	17	37	16	16	2	77	220	353	161
0	82	105	"10"	5	200	57	98	31	106	12	193	257	324	290
0	83	88	"10"	0	31	62	85	48	96	24	218	270	328	304
0	66	117	"10"	4	516	49	54	58	45	39	91	197	298	179
0	54	92	"8"	0	78	35	13	43	17	49	166	250	323	250
0	63	118	"9"	0	573	39	84	45	24	4	140	236	311	206
0	52	134	"8"	0	148	19	36	16	23	3	100	229	348	172
0	75	93	"10"	0	116	80	28	76	86	128	212	264	334	283
0	62	104	"2"	0	383	12	23	3	24	2	186	258	335	204
0	76	89	"10"	1	75	59	66	13	113	48	218	266	328	291
0	67	107	"10"	1	100	41	75	10	86	5	202	272	351	259
0	52	130	"5"	133	1158	10	3	5	10	14	-34	80	226	59
0	54	128	"10"	5	1192	21	48	13	19	2	92	204	297	153
0	62	111	"10"	0	161	49	95	41	40	14	171	262	335	252
0	71	105	"10"	0	102	42	73	13	85	8	201	270	342	273
0	74	105	"10"	1	138	45	83	39	51	3	193	267	339	277
0	74	127	"10"	1	457	56	96	59	60	1	166	257	342	270
0	64	108	"9"	1	1050	42	89	44	38	1	152	238	314	203
0	62	86	"10"	1	64	77	78	33	84	110	212	260	319	233
0	75	108	"10"	0	191	59	92	64	68	15	177	256	323	273
0	42	165	"5"	63	250	9	13	14	9	3	-5	153	332	91
0	40	141	"9"	39	982	16	34	14	12	3	17	163	304	106
0	62	122	"9"	0	725	36	86	43	21	3	128	230	308	202
0	79	91	"10"	1	103	57	81	27	89	27	215	269	330	307
0	40	162	"5"	50	370	11	17	15	10	4	-1	163	335	107
0	70	100	"10"	0	49	47	77	10	101	14	208	271	340	273
0	48	131	"9"	1	88	29	42	29	39	8	96	218	339	185
0	73	99	"10"	6	602	44	51	50	33	38	90	183	277	173
0	54	109	"9"	0	153	37	52	45	40	14	147	246	335	217
0	44	151	"5"	83	495	4	4	6	4	4	-15	127	294	72
0	79	97	"10"	0	92	84	70	79	110	88	206	262	319	287
0	73	105	"10"	0	154	49	85	45	55	8	189	267	337	273
0	81	95	"10"	1	82	78	91	79	101	50	203	258	313	298
0	74	77	"10"	0	5	84	126	10	166	53	226	269	321	299
0	77	107	"10"	3	200	55	95	54	67	5	181	259	331	280
0	52	147	"8"	45	4112	15	35	10	8	0	23	151	249	98
0	39	157	"5"	75	1176	8	13	9	6	4	-13	136	299	85
0	63	121	"9"	3	780	45	90	48	35	5	140	238	313	214
0	61	119	"9"	0	877	30	66	35	17	1	139	236	308	193
0	64	119	"2"	1	660	21	37	19	22	1	157	237	307	195
0	57	173	"12"	144	3960	13	36	7	5	1	-48	95	207	56
0	73	112	"9"	2	287	43	79	35	63	2	185	263	345	259
0	77	126	"10"	13	645	33	38	43	43	15	151	228	299	212
0	53	86	"3"	103	225	41	30	27	42	60	-28	56	152	60
0	40	169	"5"	64	326	9	12	15	9	4	-7	156	335	93
0	63	127	"9"	6	778	37	76	39	38	0	147	240	331	206
0	57	94	"10"	1	295	47	16	21	45	101	211	262	325	242
0	63	113	"2"	2	335	22	42	8	43	4	191	266	345	212
0	74	152	"12"	63	3880	27	22	30	42	18	42	125	210	112
0	63	98	"10"	0	1067	74	33	115	100	59	191	243	297	248
0	72	162	"10"	34	1731	18	22	15	35	3	78	172	266	141
0	64	114	"10"	3	610	51	52	59	49	44	93	196	299	177
0	50	105	"5"	16	5	28	29	32	28	20	57	165	292	146
0	70	83	"10"	1	287	35	39	31	39	31	170	233	291	227
0	68	106	"2"	1	603	20	33	12	22	6	156	230	297	197
0	57	172	"12"	135	3767	16	41	10	6	2	-40	100	210	61
0	52	96	"10"	1	232	39	42	49	50	19	125	222	314	207
0	39	155	"5"	63	1559	11	30	8	6	2	-11	146	279	94
0	60	143	"10"	123	3419	26	57	23	21	5	-5	99	186	79
0	46	112	"9"	0	57	38	51	44	54	17	114	220	333	195
0	82	95	"10"	1	77	74	95	71	99	40	205	261	316	304
0	35	122	"12"	181	3916	3	3	1	0	5	-78	19	122	8
0	51	162	"12"	135	3893	5	15	1	1	0	-41	94	202	56
0	59	96	"10"	1	106	57	49	42	48	79	203	259	319	265
0	44	116	"5"	4	46	32	39	37	41	15	81	197	326	168
0	74	126	"10"	4	292	52	88	58	64	1	168	256	342	274
0	64	75	"10"	0	9	63	71	29	62	89	223	266	316	261
0	76	88	"10"	1	173	65	78	14	119	56	219	265	326	294
0	60	85	"13"	125	225	10	9	8	13	12	-37	49	144	42
0	81	99	"10"	0	64	60	103	22	116	21	208	266	329	303
0	81	102	"10"	0	100	63	98	56	92	9	197	263	332	297
0	68	77	"2"	0	1	31	29	2	86	14	218	269	321	272
0	47	142	"5"	35	161	20	28	24	18	5	24	169	321	128
0	48	116	"9"	0	118	49	47	56	62	40	108	216	331	192
0	73	96	"10"	0	52	59	45	38	77	76	215	267	326	285
0	82	98	"10"	0	100	70	98	72	92	34	204	263	320	302
0	57	152	"12"	185	4032	19	44	12	13	1	-52	61	153	46
0	63	109	"9"	0	206	28	57	18	45	4	206	277	361	235
0	46	118	"11"	9	46	27	40	32	30	10	66	183	315	158
0	66	109	"10"	0	358	37	63	47	30	12	124	220	301	185
0	59	120	"2"	0	450	23	51	23	18	0	155	249	326	193
0	55	141	"10"	37	1188	20	57	9	11	2	21	166	278	130
0	64	112	"9"	3	1082	42	91	44	39	1	153	239	320	209
0	83	101	"10"	0	198	64	93	66	85	27	199	262	321	299
0	67	78	"10"	0	5	80	113	12	140	64	223	265	322	291
0	79	103	"10"	0	172	80	48	80	107	96	199	259	321	267
0	63	84	"10"	0	182	75	80	43	70	97	209	258	314	269
0	73	109	"10"	0	180	56	86	60	65	12	173	255	325	265
0	70	96	"10"	1	753	23	41	25	22	8	151	223	291	205
0	53	102	"8"	1	29	36	12	49	22	52	159	247	324	247
0	44	144	"8"	8	110	18	38	17	17	2	62	208	346	157
0	80	106	"10"	2	92	64	99	57	94	9	194	260	332	295
0	51	105	"10"	4	928	41	5	102	41	23	166	235	298	232
0	46	121	"5"	11	29	29	40	34	31	13	61	178	316	150
0	63	112	"8"	0	80	30	61	28	29	8	164	260	338	251
0	77	124	"8"	3	363	18	44	0	35	0	170	247	321	223
0	47	161	"8"	61	2500	10	27	7	4	0	-5	141	251	86
0	49	131	"8"	12	381	19	48	13	14	1	61	199	319	155
0	57	63	"13"	89	266	21	18	17	26	25	2	64	135	62
0	60	93	"10"	1	207	55	34	21	60	98	211	261	324	231
0	75	124	"10"	1	193	59	99	56	61	2	165	256	340	272
0	65	93	"9"	0	74	61	6	61	52	124	217	271	348	279
0	53	137	"8"	5	409	23	45	12	30	2	93	225	329	174
0	75	92	"10"	0	6	72	111	23	125	47	219	268	328	301
0	45	159	"12"	174	3949	8	25	4	0	1	-94	45	154	15
0	59	97	"5"	126	161	5	5	4	7	6	-39	62	172	48
0	42	164	"5"	66	301	7	8	11	6	3	-6	149	326	85
0	44	119	"9"	1	43	33	45	36	46	11	91	206	329	183
0	43	144	"8"	12	88	20	40	18	20	4	55	200	338	152
0	71	99	"10"	2	609	27	47	32	25	13	153	229	300	221
0	64	109	"9"	1	918	42	83	51	38	3	130	220	294	184
0	61	102	"9"	2	560	74	14	69	40	149	187	244	309	235
0	43	158	"5"	47	385	14	25	18	12	4	2	163	327	116
0	46	85	"10"	1	111	64	38	92	20	106	194	251	311	256
0	53	97	"8"	0	190	37	12	42	18	52	162	249	324	252
0	62	115	"9"	0	856	41	90	44	28	4	128	230	303	199
0	57	102	"10"	0	25	60	6	123	52	66	222	279	349	286
0	64	91	"10"	3	611	46	43	47	38	45	94	182	275	166
0	48	130	"5"	20	96	25	38	28	24	9	46	173	311	149
0	43	119	"11"	3	23	30	41	34	39	12	79	200	327	174
0	68	110	"9"	2	1212	41	88	40	23	6	99	195	276	185
0	62	116	"10"	2	830	35	13	47	8	65	148	237	325	223
0	80	117	"10"	4	215	59	91	52	82	6	180	255	331	287
0	55	100	"10"	0	103	32	14	30	15	63	204	263	329	258
0	68	82	"2"	0	114	26	26	1	70	11	211	265	321	259
0	82	89	"10"	0	29	63	74	49	95	40	220	270	325	304
0	56	95	"9"	0	32	47	2	43	27	112	220	275	350	263
0	54	118	"10"	4	237	44	51	51	55	30	105	210	317	200
0	74	86	"10"	2	87	46	65	47	37	31	117	201	286	193
0	76	97	"10"	0	1	70	111	27	121	40	215	268	328	303
0	81	91	"10"	0	34	63	69	45	93	48	220	270	325	300
0	62	124	"9"	0	649	38	87	45	22	4	127	230	306	202
0	81	105	"10"	0	200	59	80	65	76	20	197	265	327	287
0	58	91	"10"	0	57	40	23	45	20	68	209	266	320	277
0	77	93	"10"	0	224	55	65	21	94	29	211	266	328	300
0	53	103	"10"	0	70	36	14	45	22	56	156	247	324	246
0	47	123	"9"	0	71	33	44	38	42	15	112	228	341	198
0	43	156	"5"	47	545	16	32	18	13	4	6	163	314	115
0	74	94	"10"	0	101	95	85	76	109	109	204	257	313	290
0	72	104	"10"	2	1268	54	38	81	70	35	166	222	282	213
0	76	98	"10"	0	82	69	106	28	119	36	212	267	326	301
0	43	147	"12"	144	3198	11	31	7	2	2	-74	55	169	23
0	79	97	"10"	0	101	74	86	67	102	52	207	263	319	291
0	60	116	"10"	60	972	70	121	75	61	36	94	174	246	146
0	51	98	"9"	1	71	37	44	42	45	19	136	232	322	216
0	57	172	"12"	150	4144	12	32	6	5	1	-47	94	203	59
0	44	137	"3"	124	1447	25	8	18	18	50	-33	79	225	59
0	74	94	"10"	1	248	77	21	84	101	114	205	260	329	273
0	79	101	"10"	0	102	82	57	79	109	95	204	262	322	277
0	59	122	"10"	80	2414	60	107	63	52	29	69	154	231	128
0	57	110	"2"	0	132	31	4	40	14	64	202	267	342	259
0	75	100	"10"	8	913	44	86	44	31	14	93	188	264	172
0	40	121	"3"	64	189	26	8	21	19	51	25	113	233	106
0	80	106	"10"	1	204	59	84	43	86	13	196	263	332	300
0	40	136	"5"	18	404	14	33	11	9	3	43	189	328	127
0	49	107	"5"	15	27	29	34	34	29	19	58	167	297	144
0	63	110	"2"	0	402	27	54	19	41	3	203	275	358	229
0	50	97	"4"	1	2102	88	41	104	38	161	160	229	303	232
0	81	96	"10"	0	101	61	90	58	88	12	199	264	328	299
0	60	98	"10"	0	319	44	20	43	29	75	198	255	314	250
0	78	103	"10"	0	155	53	92	52	60	10	189	266	333	286
0	77	109	"10"	6	1627	61	62	96	77	20	110	170	232	158
0	75	84	"6"	0	1	78	103	10	156	56	219	266	322	294
0	56	71	"13"	87	94	29	25	22	33	36	-8	63	144	62
0	80	107	"10"	1	223	58	82	40	86	14	196	262	331	299
0	80	95	"10"	1	100	79	91	75	103	58	203	258	312	297
0	40	135	"5"	14	337	13	31	9	7	3	49	195	335	133
0	71	95	"10"	1	98	80	74	60	97	92	201	255	312	287
0	78	109	"10"	3	178	58	97	56	72	4	178	257	331	280
0	52	132	"5"	49	169	25	31	26	25	16	22	141	294	124
0	72	110	"10"	0	200	53	86	56	65	9	174	258	329	263
0	58	105	"9"	2	335	42	46	53	45	23	118	219	305	206
0	42	147	"5"	44	755	16	35	16	13	4	12	161	304	109
0	43	136	"9"	5	67	25	41	26	29	5	72	203	337	169
0	61	103	"2"	0	393	15	25	5	25	1	194	263	336	203
0	79	86	"10"	1	39	55	74	21	90	44	223	270	329	294
0	52	100	"5"	16	10	26	27	31	27	21	55	162	284	147
0	47	138	"5"	56	169	5	5	7	5	4	10	142	299	80
0	82	103	"10"	0	186	63	97	67	77	20	191	261	323	297
0	58	113	"10"	0	339	42	84	38	31	16	154	248	324	229
0	63	68	"13"	117	171	13	13	10	15	11	-19	51	129	58
0	72	127	"10"	0	241	55	98	58	53	1	166	260	346	265
0	39	112	"13"	52	266	28	5	18	18	65	38	119	230	112
0	59	101	"10"	0	194	69	7	138	58	83	214	271	339	279
0	41	113	"3"	64	413	25	9	19	20	44	27	109	221	107
0	58	104	"10"	0	13	39	4	70	31	54	220	280	352	290
0	72	112	"10"	0	617	41	81	45	27	10	111	213	288	182
0	71	95	"10"	3	2926	29	5	39	38	45	87	144	206	133
0	74	117	"9"	4	313	37	68	22	65	2	178	258	339	260
0	79	93	"10"	0	45	70	78	52	94	61	210	263	316	300
0	68	118	"8"	0	116	1	0	0	2	0	148	232	326	193
0	43	161	"5"	62	185	8	10	13	6	4	-1	152	329	89
0	50	117	"10"	2	211	45	44	52	58	33	108	213	325	194
0	50	95	"5"	10	20	28	30	33	28	19	65	168	290	146
0	53	169	"12"	180	3747	4	13	0	0	0	-64	76	184	45
0	53	105	"8"	0	116	37	12	43	22	57	155	246	324	249
0	72	161	"12"	144	4002	21	34	21	23	3	-49	57	149	56
0	46	82	"10"	1	234	53	50	94	18	48	190	251	308	259
0	47	109	"9"	0	59	37	50	42	47	18	123	226	333	198
0	38	139	"5"	28	569	13	30	10	9	3	29	177	322	117
0	57	110	"9"	0	150	30	3	40	15	62	203	267	343	258
0	72	115	"9"	2	191	35	63	19	64	2	180	260	342	258
0	80	115	"10"	0	175	79	69	73	103	80	194	262	326	263
0	68	112	"10"	0	612	38	82	35	24	7	120	220	307	212
0	62	129	"9"	1	743	38	90	39	22	5	100	217	297	197
0	77	92	"10"	0	1	66	86	18	118	54	220	270	332	303
0	75	88	"10"	0	4	74	113	20	133	49	221	268	326	301
0	47	99	"4"	2	323	56	30	75	19	95	158	229	302	221
0	48	160	"8"	93	3726	8	22	4	3	0	-22	117	225	69
0	46	137	"9"	3	63	25	42	26	30	5	80	211	344	172
0	81	97	"10"	0	100	61	93	58	84	11	196	264	328	297
0	60	126	"8"	0	282	31	60	28	23	7	148	249	335	228
0	60	89	"2"	0	41	42	51	3	110	11	218	272	331	270
0	77	117	"10"	1	145	62	101	60	74	3	175	258	337	281
0	66	124	"9"	3	309	38	70	41	47	0	171	259	350	232
0	66	82	"2"	5	617	1	3	1	1	0	116	182	259	162
0	80	124	"10"	4	301	56	92	55	79	3	170	252	332	278
0	80	101	"10"	0	129	77	85	68	95	66	206	265	322	280
0	49	93	"9"	0	62	36	49	45	47	20	138	232	323	212
0	64	122	"9"	3	597	44	91	45	34	4	146	248	326	229
0	62	116	"9"	0	484	40	80	40	34	10	148	246	322	227
0	75	90	"10"	1	194	54	52	15	91	54	214	262	327	281
0	80	105	"10"	0	142	83	76	75	106	91	203	263	322	276
0	51	104	"8"	0	5	38	15	61	24	48	159	245	322	249
0	61	118	"9"	1	913	42	87	50	32	5	127	227	299	201
0	68	94	"10"	0	19	34	48	44	35	24	171	244	316	251
0	65	91	"10"	0	13	55	60	15	106	35	215	267	330	291
0	40	166	"5"	70	373	6	8	10	6	2	-10	147	325	83
0	60	99	"10"	1	491	56	14	52	30	109	190	247	309	239
0	50	162	"12"	140	3633	4	13	0	0	0	-43	92	199	53
0	51	164	"12"	169	3705	3	8	0	0	0	-59	75	181	40
0	76	97	"10"	0	60	71	103	28	120	41	212	266	326	297
0	47	129	"5"	120	827	21	7	13	17	39	-19	87	233	70
0	67	123	"9"	7	394	39	78	40	37	2	148	251	327	240
0	52	149	"8"	52	3748	14	34	10	8	0	17	147	245	94
0	67	99	"2"	7	623	39	53	3	104	9	196	257	325	240
0	79	102	"10"	1	195	53	92	51	63	8	192	266	333	289
0	77	85	"10"	1	64	56	68	20	92	44	225	271	332	296
0	61	120	"10"	0	612	42	91	48	33	4	136	239	315	213
0	60	134	"9"	6	752	28	55	27	30	0	141	237	323	197
0	74	101	"10"	1	68	49	83	17	96	16	205	267	332	281
0	50	134	"5"	48	178	23	26	27	24	17	21	144	300	117
0	58	89	"13"	125	200	13	11	11	16	15	-38	51	151	41
0	48	134	"5"	32	98	23	29	29	23	10	29	162	315	131
0	47	123	"9"	0	66	32	43	38	41	14	113	229	342	199
0	77	119	"10"	1	143	64	102	62	76	3	176	257	337	282
0	46	126	"10"	27	387	22	55	16	15	4	38	168	288	131
0	60	76	"10"	2	268	50	21	82	31	61	213	256	306	274
